Timestamp,Open,High,Low,Close,Volume
7/16/2024 8:00,62895.01,63091.39,62373.24,62820.67,2185.57004
7/16/2024 9:00,62820.67,63259.12,62686.25,63187.54,1494.98117
7/16/2024 10:00,63187.53,63660,63088.83,63443.54,1171.44908
7/16/2024 11:00,63443.55,63872.2,63146.45,63746.11,1428.01869
7/16/2024 12:00,63746.11,64265.33,63601.02,63743.31,1785.10099
7/16/2024 13:00,63743.3,64100,63400.01,63419.99,1760.41084
7/16/2024 14:00,63419.99,63898.71,63063.83,63836.09,1780.20422
7/16/2024 15:00,63836.09,64960.86,63799,64878.24,3605.09775
7/16/2024 16:00,64878.24,65200,64207.96,64500,3372.18128
7/16/2024 17:00,64500,64642.79,64111.56,64547.52,1173.38419
7/16/2024 18:00,64547.52,64922.32,64405.1,64795.44,1240.51718
7/16/2024 19:00,64795.43,65178.83,64597.13,65165.43,2145.16352
7/16/2024 20:00,65165.42,65182.99,64612.16,64651.82,1102.92271
7/16/2024 21:00,64651.82,64831.33,64479.14,64500.01,752.97687
7/16/2024 22:00,64500,64623.21,64115,64616.92,1095.61568
7/16/2024 23:00,64616.92,65388.97,64616.91,65043.99,2064.48546
7/17/2024 0:00,65044,65603.12,64932.31,65505.41,1682.12259
7/17/2024 1:00,65505.41,66128.63,65440.3,65670.19,2126.40166
7/17/2024 2:00,65670.18,65895,65541.05,65612.86,1094.76663
7/17/2024 3:00,65612.85,65792.87,65375.33,65701.66,974.48649
7/17/2024 4:00,65701.66,65855.94,65546.32,65830,853.1448
7/17/2024 5:00,65830,65993.14,65600,65624.01,932.95522
7/17/2024 6:00,65624,65790,65454.17,65575.87,1094.28692
7/17/2024 7:00,65575.87,65575.87,65198.62,65258,1506.6382
7/17/2024 8:00,65258.01,65477.54,64807.49,65179.63,1707.68187
7/17/2024 9:00,65179.62,65500,65078,65331.98,821.75646
7/17/2024 10:00,65331.99,65355.9,65100,65120.02,501.31591
7/17/2024 11:00,65120.02,65144.76,64560,64723.73,1577.93489
7/17/2024 12:00,64723.73,65014,64571.91,64730.72,1096.43881
7/17/2024 13:00,64730.73,65339.86,64537.41,65141.95,1786.09141
7/17/2024 14:00,65141.95,65232.78,64660,65032.09,1473.26318
7/17/2024 15:00,65032.1,65400,64628,64724.01,1860.44398
7/17/2024 16:00,64724.01,64766.99,63854,64242,3348.62571
7/17/2024 17:00,64242.01,64411.76,63913.08,64278.83,1056.04532
7/17/2024 18:00,64278.83,64573.31,64214.01,64504,785.8051
7/17/2024 19:00,64504,64756.02,64450,64585.78,702.59596
7/17/2024 20:00,64585.78,64672.89,64503.99,64510.31,432.30744
7/17/2024 21:00,64510.31,64558.03,64058,64318,880.28681
7/17/2024 22:00,64318,64448.99,64080,64269.2,718.08274
7/17/2024 23:00,64269.19,64371.87,64084.15,64087.99,554.05144
7/18/2024 0:00,64087.99,64532.7,63910,64443.54,1114.17973
7/18/2024 1:00,64443.53,64678.99,64365.3,64678.99,628.78339
7/18/2024 2:00,64678.98,65133.3,64245.95,64701.35,1560.03337
7/18/2024 3:00,64701.34,64959.99,64626.01,64865.08,768.28276
7/18/2024 4:00,64865.09,64879.99,64534.38,64574,588.34235
7/18/2024 5:00,64574,64860.18,64402.35,64756.77,652.71243
7/18/2024 6:00,64756.76,65061.5,64712.49,65000.01,1188.1572
7/18/2024 7:00,65000.01,65036,64653.44,64668,521.3573
7/18/2024 8:00,64668,64950,64640,64936.9,582.0201
7/18/2024 9:00,64936.89,64943.32,64725,64865.99,430.49279
7/18/2024 10:00,64865.98,64865.99,64494.27,64609.99,690.00947
7/18/2024 11:00,64609.99,64763.98,64441.94,64758,691.93426
7/18/2024 12:00,64758,65011.99,64726.33,64850.66,821.59082
7/18/2024 13:00,64850.66,65111.29,64505.6,64594.2,992.6134
7/18/2024 14:00,64594.2,64708.09,63701,63995.4,2510.12184
7/18/2024 15:00,63995.4,63995.4,63400,63538.12,2643.53292
7/18/2024 16:00,63538.12,63904,63333,63904,1705.4132
